pressure,water_melt,carbon_dioxide_melt,water_vapor,carbon_dioxide_vapor,mi_CO2,mi_S,mi_H2O,pressure
485.2391304,4.433904261,2212.330828,32.04858712,67.95141288,,,,
482.2444444,4.43244201,2186.662878,32.22892347,67.77107653,,,,
479.2497585,4.4309582,2161.102451,32.41111883,67.58888117,,,,
476.2550725,4.429452327,2135.649463,32.59520385,67.40479615,,,,
473.2603865,4.427923874,2110.303838,32.78120982,67.21879018,,,,
470.2657005,4.426372304,2085.065512,32.96916881,67.03083119,,,,
467.2710145,4.424797064,2059.934432,33.15911359,66.84088641,,,,
464.2763285,4.423197584,2034.910556,33.35107769,66.64892231,,,,
461.2816425,4.421573272,2009.993856,33.54509544,66.45490456,,,,
458.2869565,4.419923518,1985.184313,33.74120195,66.25879805,,,,
455.2922705,4.41824769,1960.481924,33.93943314,66.06056686,,,,
452.2975845,4.416545137,1935.886697,34.13982579,65.86017421,,,,
449.3028986,4.414815183,1911.398654,34.34241751,65.65758249,,,,
446.3082126,4.413057129,1887.017829,34.54724683,65.45275317,,,,
443.3135266,4.411270252,1862.744274,34.75435314,65.24564686,,,,
440.3188406,4.409453803,1838.57805,34.96377679,65.03622321,,,,
437.3241546,4.407607007,1814.519239,35.17555904,64.82444096,,,,
434.3294686,4.40572906,1790.567932,35.38974217,64.61025783,,,,
431.3347826,4.403819129,1766.724242,35.6063694,64.3936306,,,,
428.3400966,4.401876352,1742.988293,35.82548501,64.17451499,,,,
425.3454106,4.399899834,1719.36023,36.04713429,63.95286571,,,,
422.3507246,4.397888646,1695.840213,36.27136362,63.72863638,,,,
419.3560386,4.395841826,1672.42842,36.49822044,63.50177956,,,,
416.3613527,4.393758374,1649.125049,36.72775333,63.27224667,,,,
413.3666667,4.391637254,1625.930315,36.96001199,63.03998801,,,,
410.3719807,4.389477387,1602.844454,37.19504729,62.80495271,,,,
407.3772947,4.387277655,1579.867723,37.43291127,62.56708873,,,,
404.3826087,4.385036895,1557.000399,37.67365721,62.32634279,,,,
401.3879227,4.382753899,1534.242782,37.91733957,62.08266043,,,,
398.3932367,4.38042741,1511.595192,38.16401413,61.83598587,,,,
395.3985507,4.378056121,1489.057975,38.41373789,61.58626211,,,,
392.4038647,4.375638672,1466.631501,38.66656918,61.33343082,,,,
389.4091787,4.373173649,1444.316164,38.92256764,61.07743236,,,,
386.4144928,4.370659579,1422.112385,39.18179426,60.81820574,,,,
383.4198068,4.368094927,1400.020611,39.44431137,60.55568863,,,,
380.4251208,4.365478095,1378.041318,39.71018271,60.28981729,,,,
377.4304348,4.362807419,1356.175011,39.97947336,60.02052664,,,,
374.4357488,4.360081163,1334.422223,40.25224986,59.74775014,,,,
371.4410628,4.357297517,1312.783523,40.52858012,59.47141988,,,,
368.4463768,4.354454592,1291.259507,40.8085335,59.1914665,,,,
365.4516908,4.35155042,1269.850809,41.09218079,58.90781921,,,,
362.4570048,4.348582944,1248.558097,41.37959421,58.62040579,,,,
359.4623188,4.345550019,1227.382074,41.6708474,58.3291526,,,,
356.4676329,4.342449401,1206.323484,41.96601544,58.03398456,,,,
353.4729469,4.33927875,1185.383108,42.26517481,57.73482519,,,,
350.4782609,4.336035618,1164.561769,42.56840341,57.43159659,,,,
347.4835749,4.332717446,1143.860334,42.87578049,57.12421951,,,,
344.4888889,4.329321558,1123.279713,43.18738666,56.81261334,,,,
341.4942029,4.325845157,1102.820864,43.50330386,56.49669614,,,,
338.4995169,4.322285313,1082.484793,43.82361524,56.17638476,,,,
335.5048309,4.318638962,1062.272556,44.14840522,55.85159478,,,,
332.5101449,4.314902894,1042.185262,44.47775932,55.52224068,,,,
329.5154589,4.311073749,1022.224075,44.81176415,55.18823585,,,,
326.5207729,4.307148006,1002.390217,45.15050728,54.84949272,,,,
