,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac,S_degassed,CO2_degassed,S_CO2_degassed
98,300.2312379,-8.101016195,3184.682009,2.474467568,1787.608671,0.005198717,1.003917803,0.126728795,0.25295989,0.620311315,0.09907477,0.027654025,1.706100255,1.827846063,10.38264418,0.995337447,0.003183703,0.00147885,22.23532414,32.56377408,24.34924974,2.984055614,0,24.86893936,0.78178578,0.976253489,762.4400412,543.6990406,141.6507176,-8.175513918,0.009650899,0.00023475,0.000805929,0.000224953,0.030661447,0.083989292,0.267433491,0,0,-2.996643243,-8.264792692,-9.301016195,1270.661826,5034.644573,2.576915614,0.126728795,0.25295989,0.620311315,0.09907477,0.027654025,0.995337447,0.003183703,0.00147885,4.894793758,1.259872803,-1.624690826,-1.624690826,-2.884563629,4945.263117,0,0.090090855,0.553097832,0.162884122
99,298.7425253,-8.10220877,3180.925435,2.474116829,1772.246558,0.005192747,1.003259235,0.127064784,0.254061773,0.618873443,0.099269176,0.027795608,1.699143531,1.820957587,10.41713783,0.9952737,0.003211085,0.001515215,22.22352085,32.71013495,24.44156764,3.003317467,0,24.96243298,0.78124853,0.976280222,761.4642839,540.0218023,141.092295,-8.259463521,0.009639162,0.000234194,0.000815001,0.000228202,0.030662712,0.083980642,0.267461747,0,0,-3.027305955,-8.348773334,-9.30220877,1271.041428,5034.446776,2.577153732,0.127064784,0.254061773,0.618873443,0.099269176,0.027795608,0.9952737,0.003211085,0.001515215,4.870534727,1.263119471,-1.623096636,-1.623096636,-2.886216106,4945.179638,0,0.091164161,0.55693836,0.163688063
100,297.2538126,-8.103401344,3177.132804,2.47376171,1756.925686,0.005186719,1.002605912,0.127403288,0.255174094,0.617422618,0.099465007,0.027938281,1.692215686,1.814096469,10.45195184,0.995209166,0.003238552,0.001552282,22.21179338,32.85821077,24.53485227,3.022780068,0,25.05690812,0.780709888,0.976306943,760.4913471,536.3621552,140.5344617,-8.343404008,0.009627308,0.000233636,0.000824151,0.000231492,0.030663953,0.083971924,0.267490023,0,0,-3.057969909,-8.432745258,-9.303401344,1271.420861,5034.246509,2.5773972,0.127403288,0.255174094,0.617422618,0.099465007,0.027938281,0.995209166,0.003238552,0.001552282,4.846206317,1.26639979,-1.621472614,-1.621472614,-2.887872404,4945.093667,0,0.09224777,0.560768578,0.164502388
101,295.7651,-8.104593919,3173.303415,2.473402116,1741.646068,0.005180631,1.001957846,0.127744323,0.256297,0.615958678,0.09966227,0.028082052,1.685316615,1.807262606,10.4870899,0.995143826,0.003266107,0.001590067,22.20014333,33.0080313,24.62911858,3.042446244,0,25.15237997,0.78016986,0.976333652,759.5211968,532.7199558,139.9771911,-8.427335302,0.009615336,0.000233076,0.00083338,0.000234823,0.030665172,0.083963135,0.26751832,0,0,-3.088635081,-8.516708393,-9.304593919,1271.800121,5034.043721,2.577645929,0.127744323,0.256297,0.615958678,0.09966227,0.028082052,0.995143826,0.003266107,0.001590067,4.821808625,1.269714401,-1.619818108,-1.619818108,-2.889532509,4945.005154,0,0.093341881,0.564588483,0.165327286
102,294.2763874,-8.105786494,3169.436552,2.473037955,1726.407719,0.005174482,1.001315051,0.128087906,0.257430634,0.61448146,0.099860975,0.028226931,1.678446217,1.800455895,10.52255575,0.995077666,0.003293751,0.001628583,22.18857236,33.15962698,24.72438183,3.062318873,0,25.24886403,0.779628449,0.976360348,758.5537974,529.0950605,139.4204562,-8.511257323,0.009603243,0.000232514,0.000842691,0.000238197,0.030666367,0.083954275,0.267546636,0,0,-3.119301448,-8.600662668,-9.305786494,1272.179199,5033.838357,2.577899824,0.128087906,0.257430634,0.61448146,0.099860975,0.028226931,0.995077666,0.003293751,0.001628583,4.797341754,1.273063958,-1.61813245,-1.61813245,-2.891196408,4944.914044,0,0.094446699,0.56839807,0.166162949
103,292.7876748,-8.106979068,3165.531482,2.472669128,1711.210655,0.005168271,1.000677541,0.128434054,0.258575148,0.612990798,0.10006113,0.028372924,1.671604387,1.793676232,10.55835316,0.995010667,0.003321489,0.001667844,22.17708221,33.31302895,24.82065759,3.082400885,0,25.34637612,0.779085661,0.976387032,757.5891132,525.4873256,138.8642292,-8.595169991,0.009591027,0.00023195,0.000852085,0.000241614,0.030667538,0.083945342,0.267574972,0,0,-3.149968987,-8.684608011,-9.306979068,1272.558088,5033.630363,2.578158792,0.128434054,0.258575148,0.612990798,0.10006113,0.028372924,0.995010667,0.003321489,0.001667844,4.772805815,1.276449132,-1.616414954,-1.616414954,-2.892864087,4944.820284,0,0.095562434,0.572197336,0.167009575
104,291.2989621,-8.108171643,3161.587455,2.472295536,1696.054897,0.005161996,1.00004533,0.128782782,0.259730692,0.611486526,0.100262741,0.028520041,1.664791025,1.786923515,10.59448595,0.994942812,0.003349322,0.001707867,22.16567462,33.4682691,24.91796178,3.102695257,0,25.44493241,0.778541502,0.976413703,756.6271068,521.896607,138.3084824,-8.679073224,0.009578686,0.000231383,0.000861563,0.000245074,0.030668685,0.083936335,0.267603328,0,0,-3.180637671,-8.768544346,-9.308171643,1272.936782,5033.419683,2.57842273,0.128782782,0.259730692,0.611486526,0.100262741,0.028520041,0.994942812,0.003349322,0.001707867,4.748200926,1.27987061,-1.61466492,-1.61466492,-2.89453553,4944.723818,0,0.096689299,0.575986276,0.167867366
105,289.8102495,-8.109364218,3157.603701,2.471917075,1680.940465,0.005155657,0.999418432,0.129134108,0.260897421,0.609968471,0.100465816,0.028668291,1.658006028,1.780197643,10.63095798,0.994874081,0.003377253,0.001748666,22.15435141,33.62538007,25.01631065,3.12320502,0,25.54454941,0.777995977,0.976440362,755.66774,518.3227605,137.7531871,-8.762966936,0.009566217,0.000230815,0.000871128,0.00024858,0.030669806,0.083927251,0.267631704,0,0,-3.211307477,-8.852471597,-9.309364218,1273.315272,5033.206258,2.578691533,0.129134108,0.260897421,0.609968471,0.100465816,0.028668291,0.994874081,0.003377253,0.001748666,4.723527208,1.283329095,-1.612881627,-1.612881627,-2.896210722,4944.624587,0,0.097827514,0.579764884,0.168736529
106,288.3215369,-8.110556792,3153.579435,2.47153364,1665.867384,0.005149252,0.998796863,0.129488046,0.262075493,0.608436461,0.100670364,0.028817682,1.651249295,1.773498515,10.66777315,0.994804457,0.003405285,0.001790258,22.14311444,33.78439527,25.11572079,3.143933258,0,25.64524397,0.777449093,0.976467007,754.7109733,514.7656416,137.1983144,-8.846851043,0.009553617,0.000230244,0.000880781,0.00025213,0.030670901,0.08391809,0.267660099,0,0,-3.241978377,-8.936389687,-9.310556792,1273.693551,5032.99003,2.578965094,0.129488046,0.262075493,0.608436461,0.100670364,0.028817682,0.994804457,0.003405285,0.001790258,4.698784793,1.286825305,-1.61106434,-1.61106434,-2.897889644,4944.522534,0,0.098977304,0.583533154,0.169617276
107,286.8328243,-8.111749367,3149.513852,2.471145122,1650.835679,0.005142779,0.998180636,0.129844613,0.263265066,0.606890321,0.100876391,0.028968222,1.644520726,1.766826028,10.70493543,0.99473392,0.003433422,0.001832658,22.13196564,33.94534891,25.21620916,3.164883108,0,25.74703332,0.776900856,0.97649364,753.7567662,511.2251055,136.6438347,-8.930725456,0.009540884,0.00022967,0.000890524,0.000255728,0.030671969,0.08390885,0.267688513,0,0,-3.272650346,-9.020298537,-9.311749367,1274.071611,5032.770936,2.579243296,0.129844613,0.263265066,0.606890321,0.100876391,0.028968222,0.99473392,0.003433422,0.001832658,4.673973819,1.290359977,-1.609212303,-1.609212303,-2.89957228,4944.417596,0,0.100138899,0.58729108,0.170509825
