,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ
227,59.543788639342495,-9.717783917688966,2300.0,3.67,500.0,0.003318055063405027,0.9587229398317005,0.7691527735728598,0.6585703972277661,-0.43288792251471486,0.3663327529528392,0.4028200206200206,0.8132138226876398,0.9306237658471961,82.33606641088305,1.0,0.0,0.0,357.98289743862193,357.98289743862193,231.8083211022864,15.627475297973495,23.361152376112948,256.2814591384139,0.47628087103054234,0.8967249947522988,375.9514712312805,202.99547317178633,195.05283355315305,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.925614878448512
228,58.73068046379606,-9.718682309277533,2300.0,3.67,500.0,0.003318055063405027,0.9591824183408058,0.7789724412834121,0.6585703972277661,-0.44277352790030566,0.3729941923938392,0.40597824888957296,0.8118341594239208,0.9290045916836238,83.11352429285265,1.0,0.0,0.0,361.36314909935936,361.36314909935936,234.76778606682356,15.650207422826234,23.635246741240437,259.5630141718974,0.47882848304531145,0.8967249947522988,370.9953340147907,203.50962920974837,193.56869394679748,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.92631740289033
229,57.91757228824966,-9.719580789466573,2300.0,3.67,500.0,0.003318055063405027,0.9596449049664021,0.7890633681988725,0.6585703972277661,-0.45293221395787026,0.3798751224443009,0.4091882457545716,0.8104662748866608,0.9273948896475702,83.90419795122902,1.0,0.0,0.0,364.8008606575175,364.8008606575175,237.8090035037352,15.67283563119693,23.916962413899572,262.93512643458155,0.48142536804288527,0.8967249947522988,366.0354232646057,204.04027532362824,192.07394077463243,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.927019927332148
230,57.104464112703226,-9.720479358256089,2300.0,3.67,500.0,0.003318055063405027,0.9601103848350891,0.7994370116612711,0.6585703972277661,-0.46337551496386065,0.3869857429081515,0.4124512687531196,0.8091103872720863,0.9257948056981071,84.70834415257718,1.0,0.0,0.0,368.29714848946605,368.29714848946605,240.93542644252548,15.695353831104198,24.206621021589537,266.40161644143296,0.48407283783868765,0.8967249947522988,361.0716850628432,204.58781561829014,190.56822148173484,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.927722451773967
231,56.291355937156794,-9.721378015646076,2300.0,3.67,500.0,0.003318055063405027,0.9605788646860145,0.8101054853469767,0.6585703972277661,-0.4741156259362627,0.39433686580455507,0.4157686195424216,0.80776672507167,0.9242044927566306,85.52622242817222,1.0,0.0,0.0,371.8531409920531,371.8531409920531,244.15070571964435,15.717756029064915,24.504562604959776,269.9665233797974,0.48677224501900074,0.8967249947522988,356.10407382236775,205.1526663035767,189.05117306670996,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.928424976215785
232,55.47824776161039,-9.722276761636541,2300.0,3.67,500.0,0.003318055063405027,0.9610503375432284,0.8210816069415119,0.6585703972277661,-0.4851654506295414,0.40193996887007394,0.419141638071438,0.8064355276871344,0.9226241111193002,86.35809411711703,1.0,0.0,0.0,375.46997442224796,375.46997442224796,247.45870434678935,15.740035738824746,24.81114695711395,273.6341210125259,0.48952499419306233,0.8967249947522988,351.1325388007011,205.73526021515232,187.52241808595085,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.929127500657604
233,54.66513958606396,-9.72317559622748,2300.0,3.67,500.0,0.003318055063405027,0.9615247992801512,0.832378950162582,0.6585703972277661,-0.49653865390698826,0.4098072426554213,0.42257170750716067,0.8051170460917859,0.9210538289003815,87.20422225910883,1.0,0.0,0.0,379.1487924309079,379.1487924309079,250.8635131896771,15.762186236485356,25.126755081690842,277.4089349913296,0.4923325398550467,0.8967249947522988,346.1570304305836,206.3360456759453,185.98156565538807,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.929830025099422
234,53.852031410517526,-9.724074519418892,2300.0,3.67,500.0,0.003318055063405027,0.9620022412782914,0.8440119014129382,0.6585703972277661,-0.5082497187740076,0.4179516471867765,0.4260602542261617,0.8038115435424523,0.9194938225093082,88.06487101197962,1.0,0.0,0.0,382.8907435303462,382.8907435303462,254.3694680421618,15.784200423776406,25.451790782203414,281.295761728597,0.49519639058062404,0.8967249947522988,341.1774976400727,206.95548801022085,184.42821010887445,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.93053254954124
235,53.03892323497112,-9.724973531210777,2300.0,3.67,500.0,0.003318055063405027,0.9624826624389873,0.8559957216530247,0.6585703972277661,-0.5203140086662269,0.4263869695969506,0.4296087520560741,0.8025192963467069,0.9179442771645845,88.94030536968265,1.0,0.0,0.0,386.6969798681854,386.6969798681854,257.9811682734981,15.806071007272774,25.78668239665295,285.2996889940054,0.4981181083166503,0.8967249947522988,336.1938921684972,207.59406899623824,182.8619314743113,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.931235073983059
236,52.22581505942469,-9.725872631603137,2300.0,3.67,500.0,0.003318055063405027,0.9629660586133758,0.8683466139698857,0.6585703972277661,-0.53274783547212,0.4351278922907922,0.4332187216790935,0.801240594690572,0.9164053874479741,89.83079039469557,1.0,0.0,0.0,390.56865388998074,390.56865388998074,261.7034971923516,15.827790306156297,26.131884693157602,289.4261184228349,0.5010993136732407,0.8967249947522988,331.20616472962,208.2522888105421,181.2822937498778,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.931937598424877
