,pressure,mean,std,variance
116,216.73870612622926,,,
117,216.2920421383903,,,
118,215.8453781505513,,,
119,215.3987141627123,,,
120,214.95205017487334,,,
121,214.50538618703433,,,
122,214.05872219919536,,,
123,213.61205821135638,,,
124,213.1653942235174,,,
125,212.7187302356784,,,
126,212.27206624783943,,,
127,211.82540226000043,,,
128,211.37873827216146,,,
129,210.93207428432248,,,
130,210.48541029648348,,,
131,210.0387463086445,,,
132,209.5920823208055,,,
133,209.14541833296653,,,
134,208.69875434512755,,,
135,208.25209035728858,,,
136,207.80542636944958,,,
137,207.3587623816106,,,
138,206.9120983937716,,,
139,206.46543440593263,,,
140,206.01877041809365,,,
141,205.57210643025468,,,
142,205.12544244241568,,,
143,204.6787784545767,,,
144,204.2321144667377,,,
145,203.78545047889872,,,
146,203.33878649105975,,,
147,202.89212250322078,,,
148,202.44545851538177,,,
149,201.9987945275428,,,
150,201.5521305397038,,,
151,201.10546655186482,,,
152,200.65880256402585,,,
153,200.21213857618687,,,
154,199.76547458834787,,,
155,199.31881060050887,,,
156,198.8721466126699,,,
157,198.42548262483092,,,
158,197.97881863699195,,,
159,197.53215464915297,,,
160,197.08549066131397,,,
161,196.63882667347497,,,
162,196.192162685636,,,
163,195.74549869779702,,,
164,195.29883470995804,,,
165,194.85217072211907,,,
166,194.40550673428007,,,
167,193.95884274644106,,,
168,193.5121787586021,,,
169,193.06551477076312,,,
170,192.61885078292414,,,
171,192.17218679508514,,,
172,191.72552280724616,,,
173,191.27885881940716,,,
174,190.8321948315682,,,
175,190.3855308437292,,,
176,189.93886685589024,,,
177,189.49220286805124,,,
178,189.04553888021226,,,
179,188.59887489237326,,,
180,188.1522109045343,,,
181,187.7055469166953,,,
182,187.25888292885634,,,
183,186.81221894101733,,,
184,186.36555495317836,,,
185,185.91889096533936,,,
186,185.47222697750038,,,
187,185.0255629896614,,,
188,184.57889900182244,,,
189,184.13223501398343,,,
190,183.68557102614443,,,
191,183.23890703830546,,,
192,182.79224305046648,,,
193,182.3455790626275,,,
194,181.89891507478853,,,
195,181.45225108694953,,,
196,181.00558709911053,,,
197,180.55892311127155,,,
198,180.11225912343258,,,
199,179.6655951355936,,,
200,179.2189311477546,,,
201,178.77226715991563,,,
202,178.32560317207663,,,
203,177.87893918423765,,,
204,177.43227519639868,,,
205,176.9856112085597,,,
206,176.5389472207207,,,
207,176.09228323288173,,,
208,175.64561924504272,,,
209,175.19895525720375,,,
210,174.75229126936478,,,
211,174.3056272815258,,,
212,173.8589632936868,,,
213,173.41229930584782,,,
