,pressure,mean,std,variance
112,464.67950009198216,,,
113,464.1567498100295,,,
114,463.63399952807686,,,
115,463.11124924612426,,,
116,462.5884989641716,,,
117,462.065748682219,,,
118,461.54299840026636,,,
119,461.02024811831376,,,
120,460.4974978363611,,,
121,459.9747475544085,,,
122,459.45199727245586,,,
123,458.9292469905032,,,
124,458.4064967085506,,,
125,457.88374642659795,,,
126,457.36099614464536,,,
127,456.8382458626927,,,
128,456.31549558074005,,,
129,455.79274529878745,,,
130,455.2699950168348,,,
131,454.7472447348822,,,
132,454.22449445292955,,,
133,453.70174417097695,,,
134,453.1789938890243,,,
135,452.6562436070717,,,
136,452.13349332511905,,,
137,451.6107430431664,,,
138,451.0879927612138,,,
139,450.56524247926114,,,
140,450.04249219730855,,,
141,449.5197419153559,,,
142,448.99699163340324,,,
143,448.47424135145064,,,
144,447.951491069498,,,
145,447.4287407875454,,,
146,446.90599050559274,,,
147,446.3832402236401,,,
148,445.8604899416875,,,
149,445.3377396597349,,,
150,444.81498937778224,,,
151,444.2922390958296,,,
152,443.769488813877,,,
153,443.24673853192434,,,
154,442.72398824997174,,,
155,442.2012379680191,,,
156,441.67848768606643,,,
157,441.15573740411384,,,
158,440.6329871221612,,,
159,440.1102368402086,,,
160,439.58748655825593,,,
161,439.0647362763033,,,
162,438.5419859943507,,,
163,438.0192357123981,,,
164,437.49648543044543,,,
165,436.9737351484928,,,
166,436.4509848665402,,,
167,435.9282345845875,,,
168,435.40548430263493,,,
169,434.8827340206823,,,
170,434.3599837387296,,,
171,433.837233456777,,,
172,433.3144831748244,,,
173,432.7917328928718,,,
174,432.2689826109191,,,
175,431.74623232896647,,,
176,431.2234820470139,,,
177,430.7007317650612,,,
178,430.1779814831086,,,
179,429.65523120115597,,,
180,429.1324809192034,,,
181,428.6097306372507,,,
182,428.0869803552981,,,
183,427.56423007334547,,,
184,427.0414797913928,,,
185,426.5187295094402,,,
186,425.99597922748757,,,
187,425.47322894553497,,,
188,424.9504786635823,,,
189,424.42772838162966,,,
190,423.90497809967707,,,
191,423.3822278177244,,,
192,422.8594775357718,,,
193,422.33672725381916,,,
194,421.8139769718665,,,
195,421.2912266899139,,,
196,420.7684764079613,,,
197,420.24572612600866,,,
198,419.722975844056,,,
199,419.2002255621034,,,
200,418.67747528015076,,,
201,418.15472499819816,,,
202,417.6319747162455,,,
203,417.10922443429286,,,
204,416.58647415234026,,,
205,416.0637238703876,,,
206,415.540973588435,,,
207,415.01822330648235,,,
208,414.4954730245297,,,
209,413.9727227425771,,,
210,413.4499724606245,,,
211,412.92722217867185,,,
212,412.4044718967192,,,
213,411.8817216147666,,,
214,411.35897133281395,,,
215,410.83622105086135,,,
216,410.3134707689087,,,
217,409.79072048695605,,,
218,409.26797020500345,,,
219,408.7452199230508,,,
220,408.2224696410982,,,
221,407.69971935914555,,,
222,407.1769690771929,,,
223,406.6542187952403,,,
224,406.1314685132877,,,
225,405.60871823133505,,,
226,405.0859679493824,,,
227,404.5632176674298,,,
228,404.04046738547714,,,
229,403.51771710352455,,,
230,402.9949668215719,,,
231,402.47221653961924,,,
232,401.94946625766664,,,
233,401.426715975714,,,
234,400.9039656937614,,,
235,400.38121541180874,,,
236,399.8584651298561,,,
237,399.3357148479035,,,
238,398.81296456595084,,,
239,398.29021428399824,,,
240,397.7674640020456,,,
241,397.24471372009293,,,
242,396.72196343814034,,,
